name
Quai des Célestins - Henri IV
Sebastopol - Rambuteau
Gare Saint-Lazare - Cour du Havre
Malesherbes - Place de la Madeleine
Caumartin - Provence
Bercy - Villot
BNF - Bibliothèque Nationale de France
Place Balard
Aristide Briand - Place de la Résistance
Carrefour Pleyel
Westermeyer - Paul Vaillant-Couturier
Saint-Antoine Sévigné
Place de l'Hôtel de Ville
Daumesnil - Picpus
Place du Moulin de Javel
Place Charles Vallin
Clichy - Place Blanche
Cité de la Musique
Enfants du Paradis - Peupliers
Madeleine Vionnet
